,Parameter,Nominal,,,,,,C0_0,C0_1,C0_2,C0_3,C0_4,C0_5,C0_6,C0_7,C0_8,C0_9,C0_10,C0_11,C0_12,C0_13,C0_14,C0_15,C0_16,C0_17,C0_18,C0_19,C0_20,C0_21,C0_22,C0_23,C0_24,C0_25,C0_26,C0_27,C0_28,C0_29,C0_30,C0_31,C0_32,C0_33,C0_34,C0_35
,gpdk090.scs,NN,,,,,,FF,FF,FF,FF,FF,FF,FF,FF,FF,FS,FS,FS,FS,FS,FS,FS,FS,FS,SF,SF,SF,SF,SF,SF,SF,SF,SF,SS,SS,SS,SS,SS,SS,SS,SS,SS
,temperature,27,,,,,,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60
,vg,600e-3,,,,,,500e-3,500e-3,500e-3,600e-3,600e-3,600e-3,700e-3,700e-3,700e-3,500e-3,500e-3,500e-3,600e-3,600e-3,600e-3,700e-3,700e-3,700e-3,500e-3,500e-3,500e-3,600e-3,600e-3,600e-3,700e-3,700e-3,700e-3,500e-3,500e-3,500e-3,600e-3,600e-3,600e-3,700e-3,700e-3,700e-3

Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,C0_0,C0_1,C0_2,C0_3,C0_4,C0_5,C0_6,C0_7,C0_8,C0_9,C0_10,C0_11,C0_12,C0_13,C0_14,C0_15,C0_16,C0_17,C0_18,C0_19,C0_20,C0_21,C0_22,C0_23,C0_24,C0_25,C0_26,C0_27,C0_28,C0_29,C0_30,C0_31,C0_32,C0_33,C0_34,C0_35
comps_Ckts:Differential_Cascode:1,"pv(""NM13"" ""gmoverid"" ?result ""dcOpInfo"")",9.726,range 5 18,,pass,6.435,12.47,12.47,11.59,10.56,12.47,11.59,10.56,12.47,11.59,10.56,12.47,11.59,10.56,12.47,11.59,10.56,12.47,11.59,10.56,8.408,7.542,6.446,8.408,7.542,6.446,8.408,7.542,6.446,8.403,7.534,6.435,8.403,7.534,6.435,8.403,7.534,6.435
comps_Ckts:Differential_Cascode:1,"pv(""NM11"" ""vdsat"" ?result ""dcOpInfo"")",314.8e-3,> 100m,,pass,233e-3,407.7e-3,234.8e-3,247.9e-3,265.4e-3,295.2e-3,309.9e-3,329.2e-3,353.6e-3,370e-3,391.2e-3,234.8e-3,247.9e-3,265.4e-3,295.2e-3,309.9e-3,329.2e-3,353.6e-3,370e-3,391.2e-3,233e-3,245.7e-3,262.8e-3,303.3e-3,317.2e-3,335.8e-3,372.3e-3,387.5e-3,407.7e-3,233e-3,245.7e-3,262.8e-3,303.3e-3,317.2e-3,335.8e-3,372.3e-3,387.5e-3,407.7e-3
comps_Ckts:Differential_Cascode:1,"abs(pv(""PM23"" ""vdsat"" ?result ""dcOpInfo""))",205.5e-3,> 100m,,pass,161.2e-3,280.3e-3,161.2e-3,172.6e-3,188.7e-3,161.2e-3,172.6e-3,188.7e-3,161.2e-3,172.6e-3,188.7e-3,229.2e-3,245.8e-3,269e-3,229.2e-3,245.8e-3,269e-3,229.2e-3,245.8e-3,269e-3,166.3e-3,178.5e-3,195.9e-3,166.3e-3,178.5e-3,195.9e-3,166.3e-3,178.5e-3,195.9e-3,237e-3,254.7e-3,280.3e-3,237e-3,254.7e-3,280.3e-3,237e-3,254.7e-3,280.3e-3
comps_Ckts:Differential_Cascode:1,"abs(pv(""PM22"" ""vdsat"" ?result ""dcOpInfo""))",218.6e-3,> 100m,,pass,170.6e-3,296e-3,170.7e-3,182.8e-3,199.5e-3,170.7e-3,182.8e-3,199.5e-3,170.7e-3,182.8e-3,199.5e-3,253.3e-3,271.3e-3,296e-3,253.3e-3,271.3e-3,296e-3,253.3e-3,271.3e-3,296e-3,170.6e-3,182.7e-3,199.3e-3,170.6e-3,182.7e-3,199.3e-3,170.6e-3,182.7e-3,199.3e-3,253.1e-3,271.1e-3,295.8e-3,253.1e-3,271.1e-3,295.8e-3,253.1e-3,271.1e-3,295.8e-3
comps_Ckts:Differential_Cascode:1,"abs(pv(""PM21"" ""vdsat"" ?result ""dcOpInfo""))",205.5e-3,> 100m,,pass,161.2e-3,280.3e-3,161.2e-3,172.6e-3,188.7e-3,161.2e-3,172.6e-3,188.7e-3,161.2e-3,172.6e-3,188.7e-3,229.2e-3,245.8e-3,269e-3,229.2e-3,245.8e-3,269e-3,229.2e-3,245.8e-3,269e-3,166.3e-3,178.5e-3,195.9e-3,166.3e-3,178.5e-3,195.9e-3,166.3e-3,178.5e-3,195.9e-3,237e-3,254.7e-3,280.3e-3,237e-3,254.7e-3,280.3e-3,237e-3,254.7e-3,280.3e-3
comps_Ckts:Differential_Cascode:1,"abs(pv(""PM2"" ""vdsat"" ?result ""dcOpInfo""))",211.9e-3,> 100m,,pass,164.2e-3,289.4e-3,164.2e-3,176.2e-3,192.7e-3,164.2e-3,176.2e-3,192.7e-3,164.2e-3,176.2e-3,192.7e-3,246.8e-3,264.8e-3,289.4e-3,246.8e-3,264.8e-3,289.4e-3,246.8e-3,264.8e-3,289.4e-3,164.2e-3,176.2e-3,192.7e-3,164.2e-3,176.2e-3,192.7e-3,164.2e-3,176.2e-3,192.7e-3,246.8e-3,264.8e-3,289.4e-3,246.8e-3,264.8e-3,289.4e-3,246.8e-3,264.8e-3,289.4e-3
comps_Ckts:Differential_Cascode:1,"abs(pv(""PM1"" ""vdsat"" ?result ""dcOpInfo""))",218.6e-3,> 100m,,pass,170.6e-3,296e-3,170.7e-3,182.8e-3,199.5e-3,170.7e-3,182.8e-3,199.5e-3,170.7e-3,182.8e-3,199.5e-3,253.3e-3,271.3e-3,296e-3,253.3e-3,271.3e-3,296e-3,253.3e-3,271.3e-3,296e-3,170.6e-3,182.7e-3,199.3e-3,170.6e-3,182.7e-3,199.3e-3,170.6e-3,182.7e-3,199.3e-3,253.1e-3,271.1e-3,295.8e-3,253.1e-3,271.1e-3,295.8e-3,253.1e-3,271.1e-3,295.8e-3
comps_Ckts:Differential_Cascode:1,/vo2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comps_Ckts:Differential_Cascode:1,/net029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

